row,product_id,product_name,variation_name,master_color,master_size,sku
399,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Cream,XXXL",Krem,XXXL,JC-W-KRM-XXXL
400,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Marun,XXL",Marun Muda,XXL,JC-W-MMD-XXL
401,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Marun,L",Marun Muda,L,JC-W-MMD-L
402,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Biru langit,XXL",Biru Langit,XXL,JC-W-BLG-XXL
403,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Burgundy,XS",Marun Tua,XS,JC-W-MTA-XS
404,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Navy,XS",Navy,XS,JC-W-NVY-XS
405,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Merah Cabe,S",Merah Cabe,S,JC-W-MCB-S
406,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Baby Pink,L",Baby Pink,L,JC-W-BPK-L
407,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Baby Pink,XL",Baby Pink,XL,JC-W-BPK-XL
408,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Cream,XL",Krem,XL,JC-W-KRM-XL
409,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Putih,L",Putih,L,JC-W-PTH-L
410,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Biru langit,XXXL",Biru Langit,XXXL,JC-W-BLG-XXXL
411,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Biru langit,XL",Biru Langit,XL,JC-W-BLG-XL
412,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Hitam,XS",Hitam,XS,JC-W-HTM-XS
413,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Biru langit,M",Biru Langit,M,JC-W-BLG-M
414,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Cream,L",Krem,L,JC-W-KRM-L
415,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Merah Cabe,XS",Merah Cabe,XS,JC-W-MCB-XS
416,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Navy,XXL",Navy,XXL,JC-W-NVY-XXL
417,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Hitam,XXL",Hitam,XXL,JC-W-HTM-XXL
418,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Putih,XL",Putih,XL,JC-W-PTH-XL
419,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Marun,XL",Marun Muda,XL,JC-W-MMD-XL
420,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Abu,L",Abu,L,JC-W-ABU-L
421,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Merah Cabe,M",Merah Cabe,M,JC-W-MCB-M
422,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Putih,XXL",Putih,XXL,JC-W-PTH-XXL
423,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Marun,M",Marun Muda,M,JC-W-MMD-M
424,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Navy,S",Navy,S,JC-W-NVY-S
425,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Baby Pink,M",Baby Pink,M,JC-W-BPK-M
426,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Biru langit,S",Biru Langit,S,JC-W-BLG-S
427,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Navy,XL",Navy,XL,JC-W-NVY-XL
428,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Hitam,L",Hitam,L,JC-W-HTM-L
429,22375612618,Paket 2 IN 1 Blazer Wanita Dan Celana Kantor Formal Dengan Bahan dan Kualitas Premium Pakaian Kantor Pakaian Wisuda Pakaian Sidang Skripsi,"Burgundy,XL",Marun Tua,XL,JC-W-MTA-XL
